类别,任务名,等级,位置,要求,重点（红字）,图片
封面,4.3/4.4/4.5,※4.5英雄挽歌资料站,※4.5更新笔记,,,4.5
主线,灵魂的去向,战斗精英/魔法导师等级70,石之家(X:6.1Y:5.8)阿莉塞,完成主线任务「狂乱前奏」,-,29
国境战线,国境战线 基姆利特暗区,战斗精英/魔法导师等级70,？？？？？？？？,完成主线任务「？？？？？？？？」,360+,30
伊瓦利斯相关,达尔马斯卡的抵抗组织,战斗精英/魔法导师等级70,黄金港(X:11.7Y:11.9)莉娜 缪里拉,完成支线「封闭圣塔 黎铎拉纳大灯塔」,365+,31
四圣兽相关,群青的誓言,战斗精英/魔法导师等级70,红玉海(X:27.8Y:16.4)文镇,完成支线任务「朱色慕情」,365+,32
蛮神相关,青龙诗魂战,战斗精英/魔法导师等级70,黄金港(X:11.6Y:12.6)异国的诗人,通关并完成「青龙镇魂战」<br/>-,380+,33
欧皇相关,九尾降临于世,,黄金港(X:11.6Y:9.9)卖报人,需满足条件获得以下坐骑「狂欢神威」「极乐神威」「梦幻神威」「白帝神威」「幽夜神威」「朱焰神威」「青君神威」,※NPC卖报人满足条件时才会出现,34
老主顾相关,亚德基拉的老主顾,,田园郡(X:5.8Y:7.0)盖姆隆纳,完成主线「红莲之狂潮」、支线「熙洛阿里亚珀的老主顾」（田园郡）、支线「阿答儿金部的继承者」（草原集市）,生产/采集等级66,35
青魔道士,自称青魔法师的男人,战斗精英/魔法导师等级50,海都下层甲板(X:9.9Y:11.0)认真的警备兵,完成主线任务「超越幻想，究极神兵」<br/>-,4.5一周后追加,36
多玛麻将相关,多玛方城战入门之旅,金碟游乐场(X:4.8Y:6.1)莱维娜<br/>完成支线任务「前往游乐场」,,,任一战斗职业等级15,37
坐骑相关,新增坐骑,在坐骑列表里可看到该坐骑为几人乘坐<br/>坐骑支持飞行：恐狼/独角兽/梦魇/蛮神马<br/>坐骑BGM变更：赤兔马/风火轮/须鲸/海蓝宝石兽/黄水晶宝石兽/仙术熊猫,,,,38
生产相关,新增配方,神拳痕嘉谭妲处新增兑换380/390生产装备<br/>田园郡希丝梅娜处诗学可兑换五型魔晶石<br/>部分制作配方道具完成个数由1变为2,,,,39
PVP相关,有技改,骑士/战士/暗骑/龙骑/忍者/召唤/学者/占星有技能调整<br/>奋战技有调整<br/>「水晶塔演习场」场地进行了调整,,,,40
家具相关,新增家具,实装国际服家具设计大赛中的作品,,,,41
金碟游乐场相关,金蝶币兑换物品追加,G.A.T.E.参与时间和奖励存在变化,,,,42
情感动作相关,新增动作,部分动作追加面向设定,,,,43
职业相关,武僧/白魔/机工有技能调整,召唤宠物攻击表现有调整,,,,44
发型相关,新增发型,,,,,45
乐谱相关,新增乐谱,,,,,46
鸟甲相关,新增鸟甲,,,,,47
宠物相关,新增宠物,,,,,48
九宫幻卡相关,新增九宫幻卡,新增对战NPC,,,,49
成就相关,成就币新增兑换奖励,生产采集有新的成就发光主手,,,,50
GPOSE相关,新增「湿身」表现,新增状态：变身/角色扮演/无法战斗/搬运,,,,51
采集相关,采集点中增加新的采集道具,钓场追加新的鱼,,,,52
优雷卡恒冰相关,,恒冰的NM出现条件要求的怪物击杀数降低<br/>恒冰NM的「恒冰水晶」奖励提高<br/>岛内传送点原等级要求30改为23 32改为25,,,,53
优雷卡永火相关,,永火的NM出现条件要求的怪物击杀数降低<br/>永火NM的「永火水晶」奖励提高<br/>部分文理技能有调整,,,,54
潜水艇相关,,潜水艇的等级上限由40变成了50<br/>可以发现新的目的地了<br/>增加通过探险可以获得的新道具,,,,55
系统相关,,准备确认的时候也会播放音效<br/>好友列表的分组会显示当前为哪个组别<br/>部分HUD支持设置透明度,,,,56
住宅区相关,,新增「模特」种族拉拉斐尔和鲁家族<br/>新增房屋活动的新主题<br/>新增新的可以在鱼缸中饲养的鱼和景观<br/>新增新的可在花盆中栽培的植物,,,,57
大国防联军相关,,以下主线完成追加300军票作为任务报酬：「森林的意志给我指引」、「直至大海吞噬一切」、「为了财富为了国家」<br/>冒险者小队的攻略任务追加新的副本迷宫,,,,58
运河宝物库相关,,「运河宝物库」「运河宝物库深层」「运河宝物库神殿」<br/>相关的报酬奖励进行追加/变更<br/>-,,,,59
道具相关,,「门客帽」新增头部装备操作<br/>部分道具可贩卖/分解/调达/魔晶石化<br/>-<br/>-,,,,60
跨服漫游相关,,可用「/tell@服务器」进行私聊<br/>部队成员的上线和下线情报，在副本内也调整为可见<br/>好友列表/黑名单依旧有效<br/>好友列表里即便是其他服务器的好友也可以组队邀请<br/>基本情报HUD会显示你的当前服务器,,,,61
